"用户名","profile_url","关注者","关键词","last_post","类别"
"iNeedMoreDollars","https://polymarket.com/profile/0xeda89efec5549d4df3bf4cce85119b5d8b2d6ca8","","wait","wait i missed this why did they close their airspace now?","预测市场用户"
"nasrysami","https://polymarket.com/profile/0x87a0fb1664f0c174427d1b74d194cd2a739bf6bb","","prediction market","Morocco is underpriced too much. if they read round of 16 you can easily 5x your money","高风险赌徒"
"cloudpaper","https://polymarket.com/profile/0x6480d5c5d644d1692910272cd4179349f0039710","","bet | betting","Everyone start betting against Argentina so I can snag up more cheap bets, whyyy","高风险赌徒"
"FSon","https://polymarket.com/profile/0x81885fd9479ebcf6ae00c597b269681e6267b1be","","prediction market","if u want a big hit and ROI, should trade in crypto 5 min market","加密交易者"
"KeithStarmer","https://polymarket.com/profile/0x7ae8b850049d07152b1741fbde10c7b6c0a45a42","","shares","Everyone sell your YES shares i'm not going anywhere","Polymarket 交易者"
"willo3","https://polymarket.com/profile/0x33e27ac64a453337cfcea8345c705a407c573a1b","","prediction market","polyscam, anybody who buys N here will have their airdrop allocation removed","加密交易者"
"Pilagi","https://polymarket.com/profile/0x301f1f5cc0123bf80a037aaeea9c34080d5c3609","","shares","Yes, but ""Both Israel and Iran provide clear public confirmation that a qualifying agreement has been definitively established."" and Israel has not yet commented officially on the agreement, futhermore Israel specifically said Trump's agreement does not bind us Sell your shares before you lose any more money.","Polymarket 交易者"
"clarifils","https://polymarket.com/profile/0xdf1e9535b9bb8496a7b1aca7560099249b4d7465","","please","please give me a link where they vote on which outcome will win","预测市场用户"
"NoMoreBullRun","https://polymarket.com/profile/0x4c1fa7156c9065ae59094ae006963b6b04b908a6","","lost","Fact: Croatia only lost to the champion in 2018 & 2022. So easy money.","高风险赌徒"
"XDrawr","https://polymarket.com/profile/0x1638bbf6b7f2b07b21b2e6f0d4aeae7d4e4cec7d","","position","we see ur position goofy","Polymarket 交易者"
"DontBePanican","https://polymarket.com/profile/0x8d89cc3ba9047d5dc7bba36f70990ec373d1b77d","","wait","Or just wait few hours till morning to see the flights are on schedule","预测市场用户"
"Matthewceo","https://polymarket.com/profile/0xe8278d22bef444ede84505b7c0ec4e4001305209","","shares","well yes i agree with you, i had 800 shares of no goal for Ronaldo","高风险赌徒"
"trade-bet","https://polymarket.com/profile/0xef32ca22132e192cb40dc8ebbee3ac04df5e265c","","bet | shares | resolve","you can't hold when it resolved to yes you will lose your shares better to sell here before resolve","Polymarket 交易者"
